"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 13:09:43 IST 2026","Thu Mar 12 13:10:23 IST 2026","40484","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:40 | Test Run ID: Sample_SearchingHL_TR108 | Result ID: TC001_TR108"
"broken","Thu Mar 12 12:56:20 IST 2026","Thu Mar 12 12:57:08 IST 2026","48038","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:48 | Test Run ID: Sample_SearchingHL_TR105 | Result ID: TC001_TR105"
"passed","Fri Mar 13 13:16:53 IST 2026","Fri Mar 13 13:17:35 IST 2026","41782","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR125 | Result ID: TC001_TR125"
"broken","Fri Mar 13 11:37:45 IST 2026","Fri Mar 13 11:38:26 IST 2026","41119","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR113 | Result ID: TC001_TR113"
"passed","Fri Mar 13 12:53:59 IST 2026","Fri Mar 13 12:54:58 IST 2026","59165","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:59 | Test Run ID: Sample_SearchingHL_TR121 | Result ID: TC001_TR121"
"passed","Fri Mar 13 15:40:19 IST 2026","Fri Mar 13 15:41:08 IST 2026","49691","[ROCKET] Ixigo ","Regression Tests Tests","[PACKAGE] Flights -> Regression Tests","Flights_Regression Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:49 | Test Run ID: RegressionTests_SearchingFL_TR025 | Result ID: TC001_TR025"
"passed","Fri Mar 13 14:27:40 IST 2026","Fri Mar 13 14:28:38 IST 2026","58248","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:58 | Test Run ID: SmokeTests_SearchingHL_TR061 | Result ID: TC001_TR061"
"passed","Wed Mar 11 16:10:09 IST 2026","Wed Mar 11 16:10:49 IST 2026","40601","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:40 | Test Run ID: Sample_SearchingHL_TR096 | Result ID: TC001_TR096"
"passed","Fri Mar 13 15:27:34 IST 2026","Fri Mar 13 15:28:11 IST 2026","37285","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:37 | Test Run ID: Sample_SearchingHL_TR130 | Result ID: TC001_TR130"
"broken","Fri Mar 13 11:38:34 IST 2026","Fri Mar 13 11:39:08 IST 2026","34078","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:34 | Test Run ID: Sample_SearchingHL_TR114 | Result ID: TC001_TR114"
"broken","Thu Mar 12 13:10:41 IST 2026","Thu Mar 12 13:11:27 IST 2026","46171","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:46 | Test Run ID: Sample_SearchingHL_TR109 | Result ID: TC001_TR109"
